Price,SP500,NASDAQ,VIX,GOLD,OIL
Ticker,^GSPC,^NDX,^VIX,GC=F,CL=F
Datetime,,,,,
2022-12-19 14:00:00+00:00,,,,,
2022-12-19 15:00:00+00:00,3852.330078125,11194.466796875,,,
2022-12-19 16:00:00+00:00,3833.06005859375,11122.6982421875,,,
2022-12-19 17:00:00+00:00,3827.219970703125,11107.0478515625,,,
2022-12-19 18:00:00+00:00,3827.47998046875,11127.9921875,,,
2022-12-19 19:00:00+00:00,3803.6201171875,11054.4189453125,,,
2022-12-19 20:00:00+00:00,3804.860107421875,11045.7626953125,,,
2022-12-19 21:00:00+00:00,3817.820068359375,11087.71484375,,,
2022-12-19 22:00:00+00:00,3817.820068359375,11087.71484375,,,
2022-12-19 23:00:00+00:00,3817.820068359375,11087.71484375,,,
2022-12-20 00:00:00+00:00,3817.820068359375,11087.71484375,,,
2022-12-20 01:00:00+00:00,3817.820068359375,11087.71484375,,,
2022-12-20 02:00:00+00:00,3817.820068359375,11087.71484375,,,
2022-12-20 03:00:00+00:00,3817.820068359375,11087.71484375,,,
2022-12-20 04:00:00+00:00,3817.820068359375,11087.71484375,,,
2022-12-20 05:00:00+00:00,3817.820068359375,11087.71484375,,,
2022-12-20 06:00:00+00:00,3817.820068359375,11087.71484375,,,
2022-12-20 07:00:00+00:00,3817.820068359375,11087.71484375,,,
2022-12-20 08:00:00+00:00,3817.820068359375,11087.71484375,,,
2022-12-20 09:00:00+00:00,3817.820068359375,11087.71484375,,,
2022-12-20 10:00:00+00:00,3817.820068359375,11087.71484375,,,
2022-12-20 11:00:00+00:00,3817.820068359375,11087.71484375,,,
2022-12-20 12:00:00+00:00,3817.820068359375,11087.71484375,,,
2022-12-20 13:00:00+00:00,3817.820068359375,11087.71484375,,,
2022-12-20 14:00:00+00:00,3817.820068359375,11087.71484375,,,
2022-12-20 15:00:00+00:00,3830.949951171875,11106.671875,,,
2022-12-20 16:00:00+00:00,3807.97998046875,11012.3486328125,,,
2022-12-20 17:00:00+00:00,3823.77001953125,11082.53515625,,,
2022-12-20 18:00:00+00:00,3831.02001953125,11094.9521484375,,,
2022-12-20 19:00:00+00:00,3830.1201171875,11090.4052734375,,,
2022-12-20 20:00:00+00:00,3826.969970703125,11088.203125,,,
2022-12-20 21:00:00+00:00,3821.97998046875,11072.2197265625,,,
2022-12-20 22:00:00+00:00,3821.97998046875,11072.2197265625,,,
2022-12-20 23:00:00+00:00,3821.97998046875,11072.2197265625,,,
2022-12-21 00:00:00+00:00,3821.97998046875,11072.2197265625,,,
2022-12-21 01:00:00+00:00,3821.97998046875,11072.2197265625,,,
2022-12-21 02:00:00+00:00,3821.97998046875,11072.2197265625,,,
2022-12-21 03:00:00+00:00,3821.97998046875,11072.2197265625,,,
2022-12-21 04:00:00+00:00,3821.97998046875,11072.2197265625,,,
2022-12-21 05:00:00+00:00,3821.97998046875,11072.2197265625,,,
2022-12-21 06:00:00+00:00,3821.97998046875,11072.2197265625,,,
2022-12-21 07:00:00+00:00,3821.97998046875,11072.2197265625,,,
2022-12-21 08:00:00+00:00,3821.97998046875,11072.2197265625,,,
2022-12-21 09:00:00+00:00,3821.97998046875,11072.2197265625,,,
2022-12-21 10:00:00+00:00,3821.97998046875,11072.2197265625,,,
2022-12-21 11:00:00+00:00,3821.97998046875,11072.2197265625,,,
2022-12-21 12:00:00+00:00,3821.97998046875,11072.2197265625,,,
2022-12-21 13:00:00+00:00,3821.97998046875,11072.2197265625,,,
2022-12-21 14:00:00+00:00,3821.97998046875,11072.2197265625,,,
2022-12-21 15:00:00+00:00,3867.06005859375,11189.5244140625,,,
2022-12-21 16:00:00+00:00,3880.639892578125,11241.7626953125,,,
2022-12-21 17:00:00+00:00,3872.639892578125,11214.580078125,,,
2022-12-21 18:00:00+00:00,3873.840087890625,11228.8798828125,,,
2022-12-21 19:00:00+00:00,3880.8798828125,11259.072265625,,,
2022-12-21 20:00:00+00:00,3872.070068359375,11224.236328125,,,
2022-12-21 21:00:00+00:00,3878.06005859375,11234.5419921875,,,
2022-12-21 22:00:00+00:00,3878.06005859375,11234.5419921875,,,
2022-12-21 23:00:00+00:00,3878.06005859375,11234.5419921875,,,
2022-12-22 00:00:00+00:00,3878.06005859375,11234.5419921875,,,
2022-12-22 01:00:00+00:00,3878.06005859375,11234.5419921875,,,
2022-12-22 02:00:00+00:00,3878.06005859375,11234.5419921875,,,
2022-12-22 03:00:00+00:00,3878.06005859375,11234.5419921875,,,
2022-12-22 04:00:00+00:00,3878.06005859375,11234.5419921875,,,
2022-12-22 05:00:00+00:00,3878.06005859375,11234.5419921875,,,
2022-12-22 06:00:00+00:00,3878.06005859375,11234.5419921875,,,
2022-12-22 07:00:00+00:00,3878.06005859375,11234.5419921875,,,
2022-12-22 08:00:00+00:00,3878.06005859375,11234.5419921875,,,
2022-12-22 09:00:00+00:00,3878.06005859375,11234.5419921875,,,
2022-12-22 10:00:00+00:00,3878.06005859375,11234.5419921875,,,
2022-12-22 11:00:00+00:00,3878.06005859375,11234.5419921875,,,
2022-12-22 12:00:00+00:00,3878.06005859375,11234.5419921875,,,
2022-12-22 13:00:00+00:00,3878.06005859375,11234.5419921875,,,
2022-12-22 14:00:00+00:00,3878.06005859375,11234.5419921875,,,
2022-12-22 15:00:00+00:00,3812.02001953125,10936.48046875,,,
2022-12-22 16:00:00+00:00,3807.570068359375,10913.5439453125,,,
2022-12-22 17:00:00+00:00,3783.510009765625,10833.9541015625,,,
2022-12-22 18:00:00+00:00,3771.139892578125,10801.755859375,,,
