timestamp,Open,High,Low,Close,Volume,Open Interest,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,RSI_14,ATRr_14,VWAP_14,Hour_of_Day,Day_of_Week,Day_of_Month,Month
2023-11-09 15:00:00,37854.33,37972.24,37059.71,37084.02,8903.7302,61958.117,538.6878656460249,26.318092400626938,512.3697732453979,60.98126039741796,358.23267855329766,36894.43371703998,15,3,9,11
2023-11-09 16:00:00,37084.03,37211.1,35600.0,36337.07,12677.18821,60648.464,456.0501204639513,-45.0557222251573,501.1058426891086,48.35925848130638,447.7232015137763,36798.01959430074,16,3,9,11
2023-11-09 17:00:00,36337.08,36709.81,36000.0,36625.27,3906.41203,57187.889,409.09860933310847,-73.60578668480014,482.7043960179086,52.44885057880849,466.443687119935,36778.64968690359,17,3,9,11
2023-11-09 18:00:00,36625.28,36630.33,36315.99,36368.55,1863.22675,57395.615,347.17205663135974,-108.42587150923913,455.59792814059887,48.74567722674347,455.57913803993995,36769.96874511807,18,3,9,11
2023-11-09 19:00:00,36368.56,36440.76,36153.0,36382.2,1990.09984,56563.181,295.78661441053555,-127.84905098405068,423.6356653945862,48.95206022502581,443.592056751373,36758.176887812726,19,3,9,11
2023-11-09 20:00:00,36382.21,36596.91,36139.57,36552.23,1897.23238,57240.329,265.7202239023609,-126.3323531937803,392.0525770961412,51.56814668500727,444.57405269770373,36750.07391928468,20,3,9,11
2023-11-09 21:00:00,36552.22,36747.04,36447.33,36530.23,2320.76507,57802.741,237.3807985879539,-123.73742280654989,361.1182213945038,51.202512364519556,434.2266203621534,36744.94383893228,21,3,9,11
2023-11-09 22:00:00,36530.24,36745.0,36500.0,36548.62,1530.04682,56292.871,213.9393593975983,-117.74308959752443,331.68244899512274,51.512000092486254,420.7104331934282,36742.15856754324,22,3,9,11
2023-11-09 23:00:00,36548.63,36784.57,36505.32,36701.09,1746.92525,56402.212,205.29835308723705,-101.10727672630856,306.4056298135456,54.11063559212418,410.6061165367547,36740.49713505883,23,3,9,11
2023-11-10 00:00:00,36701.1,36759.74,36474.67,36494.67,1713.44685,56630.138,179.72219882029458,-101.34674479460085,281.06894361489543,50.18896263950966,401.6392510698436,36576.36,0,4,10,11
2023-11-10 01:00:00,36494.66,36721.66,36446.2,36683.43,1158.01563,56352.384,172.6935628696083,-86.70030459622973,259.393867465838,53.50727038381033,392.6264474219981,36592.78845659404,1,4,10,11
2023-11-10 02:00:00,36683.43,36870.0,36600.0,36858.11,1303.24602,56656.221,179.1533658954795,-64.19240125628681,243.34576715176632,56.401797087076375,383.8674154632839,36649.99424723769,2,4,10,11
2023-11-10 03:00:00,36858.1,36919.06,36712.32,36733.27,1401.45113,56903.21,172.21408489415626,-56.905345806088064,229.11943070024432,53.822781801010414,371.2154572159063,36684.73356224186,3,4,10,11
2023-11-10 04:00:00,36733.27,36807.69,36636.45,36791.42,1501.49557,56757.93,169.45351903962,-47.73272932849949,217.1862483681195,54.85821094288093,356.9314959861991,36697.55844080992,4,4,10,11
2023-11-10 05:00:00,36791.41,36796.13,36653.85,36754.5,1349.92472,56760.734,162.4144031246542,-43.81747619477227,206.23187931942647,54.02984357155695,341.59924627289905,36703.52804297711,5,4,10,11
2023-11-10 06:00:00,36754.5,36770.0,36584.0,36615.01,1631.88076,56675.741,143.9211424719033,-49.84858947801857,193.76973194992186,50.90242587432504,330.4850143962634,36695.872493491035,6,4,10,11
2023-11-10 07:00:00,36615.0,36696.64,36427.61,36439.98,2115.67829,56280.762,113.82948649072205,-63.952196367359875,177.78168285808192,47.20977529197843,326.09537051081594,36665.55608307406,7,4,10,11
2023-11-10 08:00:00,36439.98,36525.14,36324.71,36516.3,1550.54062,56306.954,95.04440574773616,-66.1898216882766,161.23422743601276,48.94884061760466,317.1192726171863,36641.81362401743,8,4,10,11
2023-11-10 09:00:00,36516.3,36564.25,36458.45,36553.19,1075.57104,56786.67,82.18641478673817,-63.23825011941969,145.42466490615786,49.80951476242285,302.02503885881606,36633.34661888872,9,4,10,11
2023-11-10 10:00:00,36553.18,36750.0,36502.0,36750.0,1463.98921,55703.18,86.87583594508033,-46.839063168862026,133.71489911394235,54.24177736677092,298.1661075117578,36636.4056689685,10,4,10,11
2023-11-10 11:00:00,36750.0,37147.2,36745.8,37071.09,3301.21933,55521.949,115.17386293870368,-14.83282894019095,130.00669187889463,60.387839195023936,305.53995697520327,36695.73112118314,11,4,10,11
